393	229
229	306
306	266
266	21
21	73
73	446
73	358
266	340
340	305
305	200
340	211
266	9
9	116
116	10
10	309
266	356
356	354
266	144
266	285
266	295
266	253
266	439
266	228
266	425
266	193
306	110
110	235
235	111
306	251
251	307
229	173
173	426
426	234
426	148
426	324
324	58
426	69
229	109
229	259
393	363
363	332
332	108
363	11
11	78
78	143
143	187
187	157
78	23
11	351
351	117
393	103
103	286
286	264
264	390
393	91
393	17
17	34
34	184
184	249
249	300
300	304
304	310
310	265
249	400
400	250
400	258
249	72
249	22
22	194
249	371
371	373
184	365
365	135
135	97
97	209
209	99
135	76
76	433
433	191
76	30
34	12
17	296
296	94
94	409
409	262
262	46
46	204
204	165
46	161
262	247
409	164
164	70
94	418
418	220
418	415
415	395
94	329
94	51
94	175
296	176
176	13
13	28
28	104
17	314
314	231
17	43
393	256
256	24
24	82
256	323
256	155
256	320
393	290
290	232
393	172
172	375
172	328
328	380
380	53
53	381
172	26
26	337
26	404
404	238
238	8
238	79
26	107
393	196
393	402
393	50
50	93
393	319
319	341
341	174
341	25
319	313
313	55
319	299
299	18
319	359
393	212
212	119
212	45
393	293
293	134
134	100
100	206
293	269
293	38
393	385
385	141
141	444
444	186
393	62
393	441
393	37
37	77
77	378
77	36
36	442
77	372
393	321
321	268
268	44
268	59
268	190
393	122
393	275
393	272
393	260
393	382
393	333
393	263
393	377
393	357
393	92
393	283
393	166
393	353
393	252
80	297
297	81
297	96
297	213
213	298
81	303
81	16
16	162
147	267
267	422
267	419
419	443
350	287
287	128
128	399
399	126
126	398
128	226
226	88
88	225
287	29
287	133
350	401
401	132
350	177
177	366
350	301
301	261
350	210
414	120
414	195
201	434
434	317
317	435
435	318
316	316
316	19
435	2
316	47
435	427
201	331
331	218
201	438
5	115
115	436
115	168
115	440
440	114
5	343
343	280
280	198
198	352
352	197
197	368
368	181
181	369
369	219
197	131
197	185
352	334
334	278
278	335
280	338
338	282
338	118
118	216
118	292
118	202
118	431
118	49
338	254
338	424
338	95
280	14
14	311
311	15
15	284
280	170
170	33
33	74
74	113
74	347
33	396
33	273
170	387
387	136
170	349
343	408
408	411
408	432
343	3
3	142
343	205
343	412
343	445
3	291
291	4
4	255
255	146
4	429
429	68
68	428
428	127
428	67
428	86
86	183
183	87
183	410
428	90
4	42
42	245
4	336
4	391
4	244
230	64
342	83
83	52
83	242
242	392
392	241
241	180
180	112
83	106
83	430
430	224
342	364
364	41
41	355
355	420
420	233
355	60
342	171
171	156
342	240
240	327
327	312
342	325
342	129
342	348
308	367
367	182
182	66
405	139
405	248
138	89
89	437
89	276
276	221
221	277
277	223
138	178
178	63
63	179
138	123
149	145
145	151
151	125
125	152
152	384
384	361
152	1
1	153
1	169
169	150
150	389
150	274
360	71
360	20
20	121
121	158
121	54
376	315
315	288
423	105
423	239
239	85
208	130
130	207
374	40
6	159
159	7
7	160
388	271
388	75
388	167
167	344
344	154
154	345
416	281
281	61
416	137
137	417
417	421
163	31
163	48
406	217
406	397
403	32
32	57
279	84
84	140
65	386
386	339
339	322
322	102
339	394
394	237
237	222
339	188
188	236
339	379
386	39
386	289
65	124
124	215
215	346
346	214
65	199
65	326
326	407
65	203
203	35
65	270
383	246
413	192
27	189
243	257
257	227
243	362
362	56
330	98
98	370
330	101
294	0
0	302
